"Constant corr."
"2004-01-05" -0.0579159968969928
"2004-01-06" -0.121641655397839
"2004-01-07" -0.636800020007323
"2004-01-08" -0.503929260493332
"2004-01-09" 0.554223647098037
"2004-01-12" 0.0601727927217298
"2004-01-13" 0.483155503639802
"2004-01-14" -0.189250150798476
"2004-01-15" 0.018083698768275
"2004-01-16" 0.0505146616130314
"2004-01-20" 0.214724759461343
"2004-01-21" 0.433029536875026
"2004-01-22" 0.937691709527591
"2004-01-23" -0.395986470552941
"2004-01-26" 1.23511420293588
"2004-01-27" 0.161724019948877
"2004-01-28" 0.12446346609559
"2004-01-29" 0.174139464447861
"2004-01-30" -0.0128648963639836
"2004-02-02" 0.899433077052371
"2004-02-03" 0.501032733068334
"2004-02-04" -0.622717561177504
"2004-02-05" 1.05578768575252
"2004-02-06" 1.35550507109121
"2004-02-09" 0.154873174312316
"2004-02-10" 0.390039734223299
"2004-02-11" 0.211326019453923
"2004-02-12" -0.576002601845543
"2004-02-13" -0.224425934001773
"2004-02-17" -0.17633571449036
"2004-02-18" 0.48604024040532
"2004-02-19" 0.302153333181358
"2004-02-20" -0.174892040166408
"2004-02-23" 0.0936131381489641
"2004-02-24" 0.179194418229101
"2004-02-25" 0.149552496664598
"2004-02-26" 0.669048040005497
"2004-02-27" 0.170556109382404
"2004-03-01" 0.598811616499511
"2004-03-02" -0.281398447806704
"2004-03-03" 0.334568168362963
"2004-03-04" 0.356735823751598
"2004-03-05" 0.853150604215672
"2004-03-08" -0.100571669123253
"2004-03-09" 0.0976354748322402
"2004-03-10" -0.204510891223724
"2004-03-11" -1.31939514883607
"2004-03-12" 0.618571108303485
"2004-03-15" -0.649425359735339
"2004-03-16" -0.111627440603894
"2004-03-17" 1.08533939383908
"2004-03-18" 0.269600628103496
"2004-03-19" -0.0564531987743372
"2004-03-22" -0.680879065697289
"2004-03-23" 0.272364873698429
"2004-03-24" -0.80641390914357
"2004-03-25" 0.771090720229834
"2004-03-26" -0.634091340903412
"2004-03-29" 0.513409140733996
"2004-03-30" 0.720459056711176
"2004-03-31" 0.749213034240449
"2004-04-01" 0.927162475482659
"2004-04-02" -0.48374478100984
"2004-04-05" -1.70182452885574
"2004-04-06" -2.05018874571764
"2004-04-07" 0.671685197951318
"2004-04-08" -0.616599934517068
"2004-04-12" -2.49736502675708
"2004-04-13" -0.945958724148413
"2004-04-14" -0.242004425192711
"2004-04-15" 1.13628619405504
"2004-04-16" 0.551794120237469
"2004-04-19" 0.19274240689678
"2004-04-20" -1.83678723964617
"2004-04-21" 0.217966334349102
"2004-04-22" 0.88507923494336
"2004-04-23" -0.0750890406500677
"2004-04-26" 0.189829305800084
"2004-04-27" 0.431479514908198
"2004-04-28" -0.296932596072743
"2004-04-29" -0.483079440174988
"2004-04-30" 0.0690770594643497
"2004-05-03" 0.9326824460183
"2004-05-04" 0.587829226130038
"2004-05-05" -0.417245353713741
"2004-05-06" 0.255133742993426
"2004-05-07" -1.24144241603198
"2004-05-10" -1.1836884785928
"2004-05-11" 0.566705806891589
"2004-05-12" 0.166353153015283
"2004-05-13" -0.568715919191821
"2004-05-14" 1.25108188510202
"2004-05-17" 0.204114628295064
"2004-05-18" 0.725018260743094
"2004-05-19" -0.50910736183053
"2004-05-20" 0.618270361669204
"2004-05-21" 0.0699678116516533
"2004-05-24" 0.469759584960976
"2004-05-25" 0.507210341701996
"2004-05-26" 1.10129238823764
"2004-05-27" 0.390300397031915
"2004-05-28" 0.690659099616831
"2004-06-01" -0.481360406966262
"2004-06-02" 1.11135150510033
"2004-06-03" -0.508190334441395
"2004-06-04" 0.015366410152861
"2004-06-07" 0.40524483087366
"2004-06-08" -0.000524065242614765
"2004-06-09" -0.028374027225644
"2004-06-10" 0.0357040117859998
"2004-06-14" -0.283761283467983
"2004-06-15" 0.644414773411052
"2004-06-16" 0.141059192068592
"2004-06-17" 0.230380891940069
"2004-06-18" 0.180950447655163
"2004-06-21" 0.24777546543127
"2004-06-22" -0.315873950857244
"2004-06-23" 0.337818695509487
"2004-06-24" -0.0472307536120396
"2004-06-25" 0.289616595475214
"2004-06-28" 0.0966424455747883
"2004-06-29" -0.448751322667353
"2004-06-30" 0.552108301973405
"2004-07-01" 0.810526473582476
"2004-07-02" 0.439074969715539
"2004-07-06" -0.0839676216667228
"2004-07-07" -0.00202749831315102
"2004-07-08" -0.0841398921844611
"2004-07-09" 0.345213753086646
"2004-07-12" -0.0540693868122799
"2004-07-13" -0.36267445162558
"2004-07-14" 0.0795292837671087
"2004-07-15" 0.449684565131871
"2004-07-16" 0.396427549684716
"2004-07-19" -0.136790693313087
"2004-07-20" 0.573767601538986
"2004-07-21" -0.478025663834525
"2004-07-22" -1.4858129503754
"2004-07-23" -1.10198812041574
"2004-07-26" -0.869631590950113
"2004-07-27" -0.673909483848453
"2004-07-28" -0.196160345122524
"2004-07-29" 0.0819553557118454
"2004-07-30" 0.428260815270501
"2004-08-02" 1.02137068960848
"2004-08-03" -0.323861255894341
"2004-08-04" -0.0860301832119414
"2004-08-05" -1.14979774845067
"2004-08-06" -0.348512477434189
"2004-08-09" 0.0426980350391416
"2004-08-10" 0.351562908488995
"2004-08-11" -0.243838233415032
"2004-08-12" -0.66962431914473
"2004-08-13" 0.312304518583745
"2004-08-16" 0.675853122410911
"2004-08-17" 0.0693270311294696
"2004-08-18" 0.465315662571651
"2004-08-19" -0.72598327517694
"2004-08-20" 0.697745544877002
"2004-08-23" 0.31125685231987
"2004-08-24" 0.290908201158273
"2004-08-25" 0.207065177334125
