"Non-linear shrinkage"
"2004-01-05" -0.0107768266005267
"2004-01-06" -0.0838109086158627
"2004-01-07" -0.589301378633375
"2004-01-08" -0.595245937635529
"2004-01-09" 0.416966788833135
"2004-01-12" 0.272997004183129
"2004-01-13" 0.325087653264144
"2004-01-14" -0.232304424857878
"2004-01-15" -0.235082696999437
"2004-01-16" 0.185652103587022
"2004-01-20" 0.344805864245215
"2004-01-21" 0.373645474084625
"2004-01-22" 0.850774704707976
"2004-01-23" -0.13518495530761
"2004-01-26" 1.00221765112183
"2004-01-27" 0.165294003474304
"2004-01-28" 0.0705178366622775
"2004-01-29" 0.0797689090833107
"2004-01-30" 0.0997656631463791
"2004-02-02" 0.961480367645479
"2004-02-03" 0.46267542280966
"2004-02-04" -0.437689542648871
"2004-02-05" 0.877960197672628
"2004-02-06" 1.31498499343456
"2004-02-09" 0.0667222049687743
"2004-02-10" 0.526643479588667
"2004-02-11" 0.461517204893755
"2004-02-12" -0.619990462454006
"2004-02-13" -0.240036598305332
"2004-02-17" 0.152352367717248
"2004-02-18" 0.47363548773816
"2004-02-19" 0.219992690161057
"2004-02-20" -0.223302773707629
"2004-02-23" -0.106392113282915
"2004-02-24" 0.0171450867350378
"2004-02-25" 0.27323743465694
"2004-02-26" 0.383551241151341
"2004-02-27" 0.523875278470486
"2004-03-01" 0.606917443235087
"2004-03-02" -0.323179088178449
"2004-03-03" 0.461466501849814
"2004-03-04" 0.321061983833542
"2004-03-05" 0.841707152379209
"2004-03-08" -0.169870018748829
"2004-03-09" 0.0475129909645272
"2004-03-10" -0.153419957960906
"2004-03-11" -1.23948495911954
"2004-03-12" 0.577977506728137
"2004-03-15" -0.727030705523522
"2004-03-16" -0.101887768342997
"2004-03-17" 1.1890348661982
"2004-03-18" 0.14758394053609
"2004-03-19" 0.00555312892409913
"2004-03-22" -0.838370860435401
"2004-03-23" 0.342272092915531
"2004-03-24" -0.790884483467788
"2004-03-25" 1.03946301086582
"2004-03-26" -0.441310382845317
"2004-03-29" 0.670666350459467
"2004-03-30" 0.686341373651761
"2004-03-31" 0.786781342155332
"2004-04-01" 1.00358646779276
"2004-04-02" -0.414504953306463
"2004-04-05" -1.35362414647641
"2004-04-06" -1.76078823483059
"2004-04-07" 0.550469665913941
"2004-04-08" -0.459933656392628
"2004-04-12" -2.05722088490472
"2004-04-13" -0.828819913652762
"2004-04-14" -0.226249651948876
"2004-04-15" 1.00714881141193
"2004-04-16" 0.452884165953454
"2004-04-19" 0.173366154415528
"2004-04-20" -1.55290690864506
"2004-04-21" 0.383579748624396
"2004-04-22" 0.870801808943258
"2004-04-23" -0.19138438857259
"2004-04-26" 0.199584342884815
"2004-04-27" 0.32237266715037
"2004-04-28" -0.382701779568318
"2004-04-29" -0.709044981930787
"2004-04-30" 0.115325088716388
"2004-05-03" 0.909064516856157
"2004-05-04" 0.694608550373197
"2004-05-05" -0.496047000250694
"2004-05-06" 0.251203308153823
"2004-05-07" -1.30553663036667
"2004-05-10" -1.12617582364892
"2004-05-11" 0.532779081424283
"2004-05-12" -0.00521159195128385
"2004-05-13" -0.485704060440058
"2004-05-14" 1.22930467392188
"2004-05-17" 0.203606997440969
"2004-05-18" 0.604492641917647
"2004-05-19" -0.597849073324152
"2004-05-20" 0.722835846421428
"2004-05-21" 0.243483544569239
"2004-05-24" 0.566059541914484
"2004-05-25" 0.767999045971885
"2004-05-26" 1.00367486661862
"2004-05-27" 0.62888078793305
"2004-05-28" 0.561981670479817
"2004-06-01" -0.64316124937387
"2004-06-02" 1.01447453211526
"2004-06-03" -0.702719774045695
"2004-06-04" 0.0664951250597461
"2004-06-07" 0.425179582468948
"2004-06-08" 0.0431602841100661
"2004-06-09" -0.195394487383607
"2004-06-10" 0.0657912037574697
"2004-06-14" -0.432343266630443
"2004-06-15" 0.696704980833222
"2004-06-16" 0.140448648338295
"2004-06-17" 0.274162237689676
"2004-06-18" 0.316345418050789
"2004-06-21" 0.0676079728468015
"2004-06-22" -0.233848069673676
"2004-06-23" 0.410398766477173
"2004-06-24" -0.144669497814789
"2004-06-25" 0.308389341525065
"2004-06-28" 0.153606462504053
"2004-06-29" -0.57110315258872
"2004-06-30" 0.590868235468405
"2004-07-01" 0.497229194414904
"2004-07-02" 0.431599847550017
"2004-07-06" -0.140225251219529
"2004-07-07" 0.323907449183416
"2004-07-08" -0.150831201233179
"2004-07-09" 0.141139839063737
"2004-07-12" -0.0601071641365801
"2004-07-13" -0.319728021716214
"2004-07-14" 0.217980197232007
"2004-07-15" 0.367146299961062
"2004-07-16" 0.442204079370018
"2004-07-19" -0.0939058370708872
"2004-07-20" 0.562496255880236
"2004-07-21" -0.949999132768741
"2004-07-22" -1.35112851888152
"2004-07-23" -1.30851165032348
"2004-07-26" -0.94090000624146
"2004-07-27" -0.313709645360711
"2004-07-28" -0.116606556301737
"2004-07-29" 0.137347821768736
"2004-07-30" 0.561002746741753
"2004-08-02" 0.808864299173019
"2004-08-03" -0.209817051471183
"2004-08-04" -0.149897604912971
"2004-08-05" -1.05745331986897
"2004-08-06" -0.466022811452498
"2004-08-09" -0.0378582295159174
"2004-08-10" 0.486422196479618
"2004-08-11" -0.147842753560596
"2004-08-12" -0.71733719280298
"2004-08-13" 0.284877739221236
"2004-08-16" 0.376338698723525
"2004-08-17" 0.0372357873304384
"2004-08-18" 0.662172732484711
"2004-08-19" -0.621312069228124
"2004-08-20" 0.821394689933956
"2004-08-23" 0.344273018871496
"2004-08-24" 0.204376206775318
"2004-08-25" 0.146684898541403
