"EXPD.Adjusted" "WRB.Adjusted" "ALL.Adjusted" "PWR.Adjusted" "MKC.Adjusted" "PKI.Adjusted" "SWK.Adjusted" "ITW.Adjusted" "C.Adjusted" "MCO.Adjusted" "LEN.Adjusted" "KR.Adjusted" "RE.Adjusted" "PEP.Adjusted" "ABC.Adjusted" "ATO.Adjusted" "GS.Adjusted" "AEP.Adjusted" "ODFL.Adjusted" "CB.Adjusted" "MAS.Adjusted" "PAYX.Adjusted" "KMX.Adjusted" "CSX.Adjusted" "MTB.Adjusted" "MRO.Adjusted" "LEG.Adjusted" "D.Adjusted" "PH.Adjusted" "FRT.Adjusted" "SJM.Adjusted" "BLK.Adjusted" "PPG.Adjusted" "MGM.Adjusted" "HIG.Adjusted" "PLD.Adjusted" "WELL.Adjusted" "YUM.Adjusted" "CAH.Adjusted" "NVDA.Adjusted" "CHRW.Adjusted" "BAC.Adjusted" "SWKS.Adjusted" "HRL.Adjusted" "OMC.Adjusted" "CI.Adjusted" "TYL.Adjusted" "XEL.Adjusted" "CHD.Adjusted" "PEAK.Adjusted"
"12422" 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
"12423" 0.0203853416709021 0.0196816591208073 0.0195912696309069 0.0205348372066104 0.0201361772347806 0.0198105716819053 0.0200638322125842 0.020106370395174 0.0201045137161127 0.0198337789862705 0.0195203856936835 0.0199161141653738 0.0196791116307624 0.0201216799524503 0.0204475005884672 0.0196112047532241 0.01979821497072 0.0198073229922779 0.0200004100350304 0.0199556204735228 0.0197143340788778 0.0197342473718834 0.0201227774351145 0.0199418523177049 0.0197292097454801 0.0202759251139808 0.0202788928691753 0.0195891879420849 0.0201531197512426 0.019813663350716 0.0198230479750378 0.0208094417601428 0.0200843037797739 0.0198993648214811 0.0200380897700846 0.0198479230009883 0.0198815072643915 0.0200751242128219 0.0200678792801193 0.0204208317054355 0.0202163805803061 0.0198454966363513 0.0210651282067645 0.0201473331148117 0.0199644462620394 0.0196147944114117 0.0200295996591126 0.0197880336843769 0.0200171359668264 0.0199050108198959
"12424" 0.020235677977729 0.0196717942871018 0.0194242545117653 0.0202672270276466 0.0202202874248687 0.0205299958757676 0.0203231539707871 0.0201040028641697 0.0201031876148569 0.0198647845946873 0.0199041371497741 0.0197660594602444 0.0195730022160682 0.0202274031996084 0.0203413291068368 0.0194377907503966 0.0196586694569447 0.0195924236812922 0.0198923885749008 0.019876577554634 0.0197666133935901 0.0194484815912832 0.0205501245393662 0.0195704150728283 0.0196432722641858 0.0202602032677161 0.0200632906139781 0.0194381256701187 0.0199249680401749 0.0198539340151182 0.0197843595339869 0.0209329463732546 0.0198599520551591 0.0200157060879943 0.0199562643996788 0.0198745933055085 0.0198932711063597 0.0206460810420417 0.0199701178823785 0.0212128943228363 0.0203090836678324 0.0197917694659907 0.0202610932622784 0.0197603706157959 0.0200697934045314 0.0197619600134488 0.0205076770608458 0.019766887590993 0.0199054791163069 0.0201861239243387
"12425" 0.020068545967571 0.0198373179480674 0.0195653563637717 0.0208105937757174 0.0200362887420211 0.0209786761526824 0.0205171319545786 0.0199903017284862 0.0201134837293032 0.0196667457347678 0.0196322027890084 0.0200664845024359 0.019759521710671 0.0199484660790812 0.0205196655625064 0.0195399070667154 0.0200496535026095 0.01974757174222 0.0203076221307977 0.0197723202237125 0.0196304944980753 0.0192967048642927 0.0208850125503741 0.0193705533531229 0.0196076033552366 0.0201588687337585 0.0196840826097531 0.0193806785297339 0.0201148304577851 0.0197232369673062 0.0197361221988497 0.0211865392367723 0.0197458549730777 0.0199925847114237 0.0204018170266047 0.0198029454841074 0.0198865729511106 0.0202714425989519 0.0201006853970052 0.0213812005044677 0.0199180072483127 0.0197291609134566 0.0200892942165795 0.0194715362873632 0.0197687989179207 0.0197959490362484 0.0199986390880397 0.0199230903229231 0.0199376971335109 0.020082138427111
"12426" 0.0199687669606307 0.0199328977340148 0.0197167686546859 0.0208445917644534 0.0199434831037778 0.0208502644163636 0.0203795071620408 0.0200279847678007 0.0202046410876673 0.0195553848541036 0.0188196454923845 0.0199552264932503 0.0195003097473316 0.0195557564760544 0.0204275146745055 0.0197054993580309 0.0200806966777757 0.020059998074879 0.0204464048530013 0.0201262626823035 0.0193692357487983 0.0193887056226695 0.0201736224051365 0.0194209567877924 0.0195269734161896 0.0202544719817515 0.0196997938178772 0.0191323938689945 0.0201843573476165 0.0197041507652483 0.0196330551610657 0.021182601007702 0.0199100671915824 0.0199087876128806 0.0207867822239983 0.0198095201690635 0.0199481225438152 0.0203369637187925 0.0200775557043557 0.0214650964031088 0.0199402441116801 0.0197457054167168 0.0206997468738397 0.0196390070440474 0.0201126419379153 0.019768051694636 0.0199445646499464 0.0201496686608946 0.0199593108969443 0.0200262401798853
"12429" 0.019847955431073 0.0201383609515563 0.0200829861395856 0.0203179305670769 0.019665629990853 0.0206353832722566 0.0204423531173133 0.0197520780910547 0.0201895892077683 0.0196671256812606 0.0194604419442239 0.0200753711681431 0.0197595035724679 0.0195288140604698 0.0204146516145396 0.0196853480942966 0.0199016582017424 0.0199953621030718 0.0203746961594791 0.020285944517019 0.0194886848829218 0.0192744673577763 0.0196849440091862 0.019307367194082 0.0192544320987407 0.0202731741190876 0.0198772370852255 0.019135092533946 0.0198084472902728 0.0197650123404098 0.0198969388229244 0.0211284588615641 0.0195525132391488 0.0203240099223218 0.020887437825037 0.019988166151339 0.0199201305849474 0.0201838833067989 0.01995158481986 0.0218549628358198 0.0197438180910123 0.0196458625973995 0.0213219282102184 0.0197150542209543 0.0196881003542502 0.0197961376258837 0.0199811828485746 0.0201339893751953 0.0198195462941909 0.0203762512156594
"12430" 0.0201040263331636 0.0204922726197797 0.0201312868818378 0.0206799684751941 0.0194495723532957 0.020585750742639 0.0206238416011109 0.0199414352877714 0.020080981416107 0.0196096289979464 0.0188236063220212 0.0198548324019017 0.020278800235543 0.0194648226937907 0.0201855084103715 0.01975417469697 0.019867298310328 0.0199486338506941 0.0204818021392032 0.0206013540754427 0.0195171644391809 0.0190625504700096 0.019235822036918 0.019097528805172 0.0187825893221756 0.0201684422140726 0.0198594565582421 0.0190720888452677 0.0195581887095275 0.019664221198968 0.0197883016090265 0.0214295366534253 0.0196879914785986 0.0206767119929121 0.0209716269870041 0.0199265014957149 0.0199604120503241 0.0202962998923214 0.0195669986804551 0.0220011388134196 0.0195438163592914 0.0195932571046231 0.0223729382587426 0.0195785402085106 0.0196837947279062 0.0197673039117997 0.020150438096226 0.0199134008164522 0.0197137547859478 0.0203995856326533
"12431" 0.0199729197800939 0.0205936702182238 0.0201916183710058 0.0222595625797166 0.0194567602313291 0.0206255907699456 0.020698324514064 0.0201051545982012 0.0200625421442888 0.0197723672460823 0.0184488448726071 0.0199475561896075 0.0201654284774367 0.0194640138754301 0.0198612644322215 0.0197312886170568 0.0199268935633989 0.0199664820235121 0.0206183428621507 0.0207345382239547 0.0194788118816365 0.018962917042907 0.0189217322396948 0.0191708838964511 0.018472895455285 0.020400181308512 0.0196724324187772 0.0192435269397621 0.0194687205672144 0.0198633484215054 0.0198963405784254 0.0215912292520273 0.0197381403136073 0.0206017794718763 0.0209639738189902 0.0198277203000664 0.0200096954545327 0.0201782722784691 0.0196345250858217 0.0209208872729341 0.0196923235517885 0.0196239906293828 0.0210636289101847 0.019308670558516 0.0197741914238319 0.0199041555078831 0.0205754180562329 0.0199488726260338 0.0197700729123826 0.0207174982349408
"12432" 0.020241210755139 0.020839665049503 0.0202093960808087 0.0222492362068275 0.0194224501934251 0.0208817255951055 0.0208645323334235 0.0201642414353512 0.0200923148801473 0.0199859550318329 0.0186816954217884 0.019881799943122 0.0200203315666339 0.0193798929861276 0.0201290624694109 0.0197853952120342 0.0201410628574689 0.0200848631174595 0.0200843867412958 0.0207618547448644 0.0195427902316535 0.0187808531762999 0.0190295572643718 0.0189031373379349 0.0183710101598883 0.0201071605423349 0.0200328247000664 0.0193113395994825 0.0197668014535079 0.019759841197066 0.0198497309168649 0.0205510129680011 0.019650090461227 0.0206888805278961 0.0212506396701217 0.0201649482539803 0.0200163744386884 0.0203037558144338 0.0196777726924607 0.0206312698147906 0.0195020314795445 0.0197316292561513 0.0210783640458624 0.0192979950467804 0.0197404064588784 0.019688840240011 0.0205422098815972 0.019900339569769 0.0195667372878038 0.0206605828907623
"12433" 0.0198953116811963 0.0210068517730585 0.020221198287078 0.0224233524444267 0.0190204394035661 0.0208262727087902 0.0208128222468597 0.0202093691194187 0.0199019953826033 0.0198308574344135 0.018909285530287 0.0199147199347377 0.0201818376151635 0.0192891917590006 0.0199761038140094 0.0197251187287998 0.0205066060307228 0.0199423013432517 0.0202961318835896 0.0207308638005004 0.0195983542010693 0.0188825146815877 0.0189436394745324 0.0186821622317195 0.0187192853637949 0.019844527185825 0.0199803338325716 0.0190092299733348 0.0198245355914318 0.0199596160255394 0.0198482375808753 0.0204351906445233 0.0196026788894755 0.0206054987399189 0.021296411434319 0.0202125116512655 0.0201320771696623 0.0203097412828807 0.0198044612212884 0.0206773471827848 0.0193360695429229 0.0196006406035946 0.0210689188351617 0.0192708373765106 0.0197496713868655 0.0197517986088164 0.0213254504141381 0.0198188643041695 0.0195881281886209 0.0205006354593261
