"Sample covariance"
"12422" -0.218802573726708
"12423" 0.201875585953502
"12424" 0.0521498452984505
"12425" -0.481884202204509
"12426" 0.176488284098413
"12429" -0.0794115735218389
"12430" 0.241517800674827
"12431" 0.224227671248502
"12432" -0.405150532054119
"12433" -0.611991007296571
"12437" 0.574359303631289
"12438" 0.395162386129435
"12439" 0.675698668342514
"12440" 0.359633309222311
"12443" 1.28463776145057
"12444" 0.472287014683394
"12445" -0.312208010468401
"12446" -0.570889923001474
"12447" 0.32922172754419
"12450" 1.19112144849714
"12451" 0.311204013736978
"12452" -1.3822064463302
"12453" 0.785833691320117
"12454" 1.29835642782907
"12457" -0.243968493397174
"12458" 0.773554451341987
"12459" 0.920784728021675
"12460" -0.615861531842225
"12461" -0.529044711631159
"12465" 0.307557854232037
"12466" -0.0877032435576602
"12467" -0.0936897235466087
"12468" 0.0699170363557637
"12471" -0.0073472583922056
"12472" -0.118093310009155
"12473" 0.138908689885147
"12474" 0.234728157252614
"12475" 0.486409215066289
"12478" 0.942195095748727
"12479" 0.320842928652345
"12480" 0.348295965780038
"12481" 0.223534059333799
"12482" 0.766317698568766
"12485" -0.363867288247049
"12486" 2.88983195528489e-06
"12487" -0.883901509326939
"12488" -1.1847657296054
"12489" 0.872267155079248
"12492" -1.31013597881238
"12493" 0.173946913062931
"12494" 1.65536842307036
"12495" 0.443491821035537
"12496" -0.358492588937423
"12499" -0.402581178244982
"12500" 0.645030243234073
"12501" -0.991815132977148
"12502" 0.918685399236871
"12503" -0.583979589942899
"12506" 1.01439895413536
"12507" 0.71784910853155
"12508" 0.80334584935759
"12509" 1.09129889351714
"12510" -1.02040674379544
"12513" -1.69353114636879
"12514" -1.74269641746556
"12515" 1.24120669235155
"12516" -0.862769587338112
"12520" -2.54703011205469
"12521" -0.643993116324912
"12522" -0.527584911920447
"12523" 1.32956487478721
"12524" 1.08954099688461
"12527" 0.0106248577811853
"12528" -2.34014673633252
"12529" 0.150065737452175
"12530" 1.59009863403186
"12531" -0.444245605183153
"12534" 0.335402730171572
"12535" 0.54836204688682
"12536" -0.943668720139054
"12537" -0.588214124505699
"12538" -0.00260311845688996
"12541" 0.895982606789125
"12542" 0.675997227743449
"12543" -0.62087282895133
"12544" -0.025827177019764
"12545" -2.35484715070344
"12548" -0.501791404531378
"12549" 0.616796966488329
"12550" -0.38033445780448
"12551" 0.122633708339509
"12552" 1.15405988393419
"12555" 0.401375133464676
"12556" 0.78537913913296
"12557" -1.11255202681377
"12558" 1.06932069432529
"12559" -0.322258855784706
"12562" 0.502414951413901
"12563" 1.33650504690698
"12564" 0.947061856082438
"12565" 0.489744271903418
"12566" 0.849896207175018
"12570" -0.280150565963467
"12571" 1.09471469478701
"12572" -0.489563153355715
"12573" 0.06297567533974
"12576" 0.64828926575731
"12577" 0.197598126685313
"12578" -0.230288982528755
"12579" -0.141995472305306
"12583" -0.896480518072947
"12584" 1.15232564754595
"12585" 0.271346018133993
"12586" 0.0773304131794137
"12587" -0.13400157057828
"12590" 0.403532055706478
"12591" -0.0183862564506281
"12592" 0.627433627266818
"12593" -0.669018991811402
"12594" 0.461801969504979
"12597" 0.34932274536705
"12598" -1.10037114519004
"12599" 0.393676455823413
"12600" 0.490444711803165
"12601" 0.745801492169159
"12605" -0.258172405323092
"12606" 0.51583887927218
"12607" -0.26182528777125
"12608" 0.00548916577350783
"12611" 0.550679235109889
"12612" -0.414161107694648
"12613" 0.4009402750648
"12614" 0.455009860522425
"12615" -0.156777123147706
"12618" 0.359652757794991
"12619" 0.395615646554061
"12620" -1.17624904863215
"12621" -1.88731250174915
"12622" -0.983271706328964
"12625" -0.468600935028196
"12626" 0.352793811083025
