"Linear shrinkage"
"12422" 0.167270104077569
"12423" 0.106481358384042
"12424" -0.211520030185302
"12425" -0.232637780710542
"12426" 0.374293699267161
"12429" 0.0378578022997126
"12430" 0.456211371626905
"12431" -0.14743709960086
"12432" -0.258448530357415
"12433" -0.343725598938441
"12437" 0.405794249591466
"12438" 0.0649379605801165
"12439" 0.751113727945432
"12440" 0.174577634211278
"12443" 1.09353395218928
"12444" 0.537499934944286
"12445" -0.00680742405715099
"12446" -0.0361036679768654
"12447" 0.55490418567547
"12450" 1.04980372457815
"12451" 0.447841388336556
"12452" -0.887423113857211
"12453" 0.190303014853033
"12454" 1.21646325303145
"12457" -0.0966401254843018
"12458" 0.854881572890312
"12459" 0.717001378186364
"12460" -0.758534322281015
"12461" -0.432674967100701
"12465" 0.120325090784171
"12466" 0.200194286947134
"12467" 0.00599071818026139
"12468" -0.02857968749547
"12471" 0.170273998043613
"12472" -0.41790016938069
"12473" 0.221059468856142
"12474" 0.143052842331912
"12475" 0.524127531481221
"12478" 0.843970451704896
"12479" 0.0727803512518928
"12480" 0.314693873076603
"12481" 0.0725007001904135
"12482" 0.89546529128325
"12485" 0.0655897249818892
"12486" -0.0363851643038291
"12487" -0.662776758489617
"12488" -1.23881743534423
"12489" 0.875509342352893
"12492" -1.35835128985534
"12493" 0.114299724493537
"12494" 1.37632188485228
"12495" 0.403577306372915
"12496" -0.183205296909395
"12499" -0.395086368789035
"12500" 0.352655025515518
"12501" -0.820612325003809
"12502" 0.871524582482715
"12503" -0.700826479261806
"12506" 0.740248565294057
"12507" 0.923997305534642
"12508" 0.79875067072982
"12509" 1.18219330387107
"12510" -0.608417101343667
"12513" -1.76921157809273
"12514" -1.6034110204215
"12515" 0.791956516121234
"12516" -0.729406974685571
"12520" -2.39494546541043
"12521" -0.699947552715753
"12522" -0.387695293878082
"12523" 1.0900364026272
"12524" 0.499912560181192
"12527" 0.17768205400968
"12528" -2.02594106222509
"12529" 0.195649414781975
"12530" 1.11079174321321
"12531" -0.035636867993575
"12534" 0.454141414395061
"12535" 0.708465203782234
"12536" -0.593492557883304
"12537" -0.74638915248033
"12538" -0.0472153306464813
"12541" 0.844322723187123
"12542" 0.475905658947164
"12543" -0.46944761054067
"12544" -0.278724170936671
"12545" -1.83847892546776
"12548" -0.900687134453125
"12549" 0.505667275618288
"12550" -0.426527241626994
"12551" 0.0595251961881757
"12552" 1.21349250426232
"12555" 0.248015754870545
"12556" 0.815982495408488
"12557" -0.793139938987985
"12558" 0.894249060631995
"12559" -0.199592776208437
"12562" 0.354500247258302
"12563" 0.912848708397001
"12564" 1.25146771558259
"12565" 0.617858639455814
"12566" 0.973284502915806
"12570" -0.447176816357277
"12571" 0.774392124657563
"12572" -0.416539406457293
"12573" 0.0612317659497149
"12576" 0.52307284107195
"12577" 0.181421496999706
